NAMA SEKOLAH;ALAMAT EMAIL;
SMA BATIK 1 SKA;smaba1_solo@yahoo.com;
SMA REGINA PACIS (URSULIN);smareginapacissolo@gmail.com;
SMK 3 SURAKARTA;admin@smkn3ska.sch.id;smkn3ska@yahoo.co.id
SMA AL AZHAR SYIFA BUDI;admin@smaasbsolo.sch.id;
SMA WARGA SKA;sma.warga@yahoo.com;
SMK BATIK 1 SKA;smkbatik1ska@gmail.com;
SMK BATIK 2 SKA;smkbatik2ska@gmail.com;
SMP WIDYA WACANA 1 SKA;smpwidyawacana1ska@gmail.com;
SMP KANISIUS 1 SKA;kansas_schule@yahoo.com;
SMP BATIK 1 SKA;info@smpbatikska.sch.id;
SMP AL ABIDIN SKA;smp.alabidin@gmail.com;
SMP MUH 5 SKA;smpmuh5ska@gmail.com;
SMP 1 SKA;smp1ska@yahoo.com;
SMP 24 SKA;smpn24solo@gmail.com;smp24.surakarta@gmail.com
SMP MUH 2 SKA;info@smpmuh2ska.sch.id;
SMP ISLAM DIPONEGORO SKA;smp.diponegoro@ypid.or.id;
SMA ISLAM DIPONEGORO SKA;sma.diponegoro@ypid.or.id;
SD ISLAM DIPONEGORO;sd.diponegoro@ypid.or.id;
SMP 13 SKA;admin@smpn13ska.sch.id;
SMP 21 SKA;smpn21solo@gmail.com;
SMP 6 SKA;smp6s@yahoo.com;
SMA AL ISLAM 1 SKA;sma_islam_1@yahoo.com;
SMA MTA SKA;info@smamta-ska.sch.id;
SMK 1 SKA;smk1slo@yahoo.co.id;
SMK GRAFIKA SKA;smkgrafika@ymail.com;
SMK KASATRIYAN;smk_kasatriyan_surakarta@yahoo.co.id;
SMP AL IRSYAD SKA;smpalirsyad_solo@yahoo.com;
SMP KASATRIYAN 1 SKA;smpkasatriyan1ska@gmail.com;
SMP KALAM KUDUS SKA;smp@kalamkudussolo.sch.id;
SMP MARSUDIRINI SKA;smpmarsudirini_theresia@yahoo.com;
SMP MUH 1 SKA;simpon01@yahoo.co.id;
SMP 11 SKA;smpn11surakarta@gmail.com;
SMA AL MUAYYAD SKA;sma.almuayyad@gmail.com;
SMA BATIK 2 SKA;smabatik2@yahoo.co.id;
SMA YOSEF SKA;styosef@pangudiluhur.org;
SMA SANTO PAULUS SKA;toposusilo.80@gmail.com;
SMK 4 SKA;smkn4solo@gmail.com;
SMK 5 SKA;info@smkn5solo.net;
SMK 6 SKA;smk6solo@gmail.com;
SMK 7 SKA;smkn7surakarta@gmail.com;
SMK AL ISLAM;smk_alislamska@yahoo.com;
SMK JAYAWISATA;jayawisata.solo@gmail.com;
SMK MIKAEL;smkmikael@gmail.com;
SMK MUH 4 SKA;smkmuh4ska@gmail.com;
SMK MURNI 1 SKA;smkmurni1solo@yahoo.com;
SMK MURNI 2 SKA;smk.mn2@gmail.com;
SMK PANCASILA SKA;smkpancasilaska@gmail.com;
SMK SANTO PAULUS SKA;smksantopaulus@yahoo.com;
SMP AL MUAYAD SKA;almuayyadsmp@gmail.com;
SMP MUH 10 SKA;muh10ska@gmail.com;
SMP 2 SKA;smpnegeri2surakarta@gmail.com;
SMP 12 SKA;smpn12surakarta@gmail.com;
SMP 15 SKA;smplibelska@gmail.com;
SMP 25 SKA;smpn25.ska@gmail.com;
SMP 27 SKA;smpn27ska@yahoo.com;
SMP 3 SKA;smp3surakarta@gmail.com;
SMP 9 SKA;smpn9ska@gmail.com;
SMP REGINA PACIS (URSULIN);smpreginapacis@Yahoo.co.id;
SMP TA'MIRUL ISLAM SKA;sta39mirulislam@yahoo.com;
SMA 7 SKA;sman7slo@gmail.com;
SMA KRISTEN 1 SKA;smakristen1surakarta@yahoo.co.id;
SMK ANALIS KESEHATAN NASIO;smkaknasional.ska@gmail.com;
SMK FARMASI NASIONAL;smf_nasional@yahoo.com;
SMK MUH 1 SKA;smk_muh1ska@yahoo.com;
SMP AL ISLAM 1 SKA;dapospalsa@gmail.com;
SMP DARUSSALAM;darussalamska.smp@gmail.com;
SMP ISLAM BAKTI 1;nucky7494@yahoo.co.id;
SMP KANISIUS 2 SKA;smpkansdasolo@gmail.com;
SMP KRISTEN 5 SKA;smp.krisma@yahoo.com;
SMP MUH 6 SKA;smpmuhenamska@yahoo.co.id;
SMP MUH 8 SKA;smpm8ska@gmail.com;
SMP 19 SKA;smpn19ska@gmail.com;
SMP 22 SKA;smpn22_ska@yahoo.co.id;
SMP WIDYA WACANA 2 SKA;smpwidyawacana2@yahoo.co.id;
SMA BINA WIDYA SKA;smabinawidyasolo@gmail.com;
SMA 3 SKA;kepsek@sman3-slo.sch.id;
SMA 8 SKA;sman8solo@gmail.com;
SMA WIDYA WACANA SKA;sma_widyawacanasolo@yahoo.com;
SMA MUH 3 SKA;smamuhtigasolo@ymail.com;
SMA PELITA NUSANTARA SKA;info@pelitanusantarakasih.sch.id;
SMA TRI PUSAKA;smatripusaka@ymail.com;
SMKN 8 SKA;smkn8_surakarta@yahoo.com;
SMK COKROAMINOTO 1 SKA;cokroaminoto.smk1@gmail.com;
SMK COKROAMINOTO 2 SKA;cokroaminoto2@yahoo.co.id;
