KOTA LHOKSUMAWE;disdukcapil@lhokseumawekota.go.id
ACEH JAYA;dinkes@acehjayakab.go.id
KOTA LANGSA;dinkes@langsakota.go.id
PIDIE JAYA;inbox.dinkespidie@gmail.com
KOTA BANDA ACEH;"dinkeskotabandaaceh@gmail.com; dinkes@bandaacehkota.go.id"
ACEH SELATAN;"dinkes@acehselatankab.go.id; dinkes@acehselatankab.go.id"
ACEH BARAT;ivanyuanna@gmail.com
ACEH SINGKIL;prog.asel@gmail.com
KOTA SABANG;admin@dinkes.sabangkota.go.id
ACEH BARAT DAYA ;prog.asel@gmail.com
KOTA TEBING TINGGI;dinaskesehatantebingtinggi@gmail.com
KOTA TANJUNG BALAI;dinkes@tanjungbalaikota.go.id
KOTA BINJAI;dinkeskotabinjai@yahoo.com
KOTA SIBOLGA;putriyulinda93@gmail.com
TOBA SAMOSIR;dinkes@tobasamosirkab.go.id
KOTA PEMATANG SIANTAR;binaprogram.dkkps@yahoo.co.id
SAMOSIR;humas@samosirkab.go.id
DHARMASRAYA;"dinkes@dharmasrayakab.go.id; dinaskesehatan120@gmail.com"
KOTA PANDANG PANJANG;dinkes.kotapadangpanjang@gmail.com
KOTA SAWAH LUNTO ;proglap.dinkes@gmail.com
KOTA SOLOK ;dinkes@solokkab.go.id
KOTA PAYAKUMBUH;dkkpyk@gmail.com
KOTA BUKIT TINGGI;dkkbkt@gmail.com
TANAH DATAR ;"dinkes.kabtanahdatar@gmail.com; dinkes@tanahdatar.go.id"
SOLOK SELATAN;dinkessolokselatan@gmail.com
KOTA PARIAMAN ;dinkes@pariamankota.go.id
KUANTAN SINGINGI;dinaskesehatan@riau.go.id
BATANG HARI;dinkesbatanghari@ymail.com
SAROLANGUN;robby.prihandaya@gmail.com
KOTA LUBUK LINGGAU;dinkes@lubuklinggaukota.go.id
EMPAT LAWANG ;dinkesempatlawang@yahoo.co.id
KOTA PAGAR ALAM ;Dinkessp4npga@gmail.com
KOTA PRAMBULIH;dinkesprabu1672@gmail.com
LEBONG ;dinkes@lebongkab.go.id
MUKO MUKO;dinkes@mukomukokab.go.id
KEPAHIANG;dinkeskabkepahiang@gmail.com
KOTA BENGKULU;dinaskesehatankotabengkulu@gmail.com
BENGKULU TENGAH ;dinkes.bengkulutengah@yahoo.com
REJANG LEBONG ;dinkes.bisa@gmail.com
LAMPUNG BARAT;kominfo.lambar@gmail.com
PESISIR BARAT;dinkes@pesisirbaratkab.go.id
TULANG BAWANG BARAT;mppdinkestuba@gmail.com
KOTA METRO;dinkeskotametro@yahoo.co.id
KOTA PANGKAL PINANG ;dinkesppkbpangkalpinang@gmail.com
BELITUNG ;dinkesbelitung@gmail.com
BELITUNG TIMUR ;dinkesppkkb@belitungtimurkab.go.id
KOTA TANJUNG PINANG ;dinkeskotatanjungpinang@gmail.com
KEPULAUAN ANAMBAS ;dinkes@anambaskab.go.id
BINTAN; inspektorat@bintankab.go.id
KOTA CIREBON ;kotacirebondinkes@gmail.com
PANGANDARAN;promkespangandaran16@gmail.com
KOTA BANJAR ;dinkes@banjarkota.go.id
KOTA SUKABUMI;dinkes@sukabumikota.go.id
KOTA SALATIGA;dkk.salatiga@yahoo.com
KOTA MAGELANG ;dkk@magelangkota.go.id
KOTA TEGAL;dinkes@tegalkota.go.id
KOTA PEKALONGAN ;dinkes_ktpekalongankota@yahoo.com
KOTA PASURUAN ;kotapasurun@dinkesjatim.go.id
KOTA PROBOLINGGO;dinkeskabprobolinggo@gmail.com
KOTA KEDIRI;dinkes.kedirikota@gmail.com
KOTA BLITAR;dinkes@blitarkota.go.id
KOTA MADIUN ;dinkes.madiunkota@gmail.com
KOTA BATU;dinkeskotabatu@gmail.com
PACITAN;dinkes@pacitankab.go.id
KOTA MOJOKERTO;gayatrikotamojokerto@gmail.com
KOTA CILEGON ;dinkes@mail.cilegon.go.id
KLUNGKUNG ;dinkes@klungkungkab.go.id
JEMBRANA ;iketutjinakan@gmail.com
KARANGASEM;"promkeskarangsem@gmail.com; diskes@karangasemkab.go.id"
TABANAN;tabanandikes@yahoo.com
KOTA BIMA ;dikeskotabima01@gmail.com
KOTA KUPANG ;sekretariat@dinkes-kotakupang.web.id
BENGKAYANG ;kelikmuriyanto@gmail.com
KOTA SINGKAWANG ;dinkes@singkawangkota.go.id
MEMPAWAH ;dinkes@mempawahkab.go.id
KAYONG UTARA ;lpse.kayongutarakab@gmail.com
SEKADAU ;widaranggani86@gmail.com
LAMANDAU;dinkeslamandau@gmail.com
BARITO UTARA ;dinkes@baritoutarakab.go.id
SERUYAN;dinkes.seruyankab@gmail.com
MURUNG RAYA ;renynton@gmail.com
PULANG PISAU;dinkes@pulangpisaukab.go.id
KATINGAN ;riniefrina@gmail.com
KOTA PALANGKARAYA;"dinkes@palangkaraya.go.id; dinkes.palangkaraya@gmail.com"
BALANGAN ;dinkes.balangan2003@gmail.com
HULU SUNGAI SELATAN ;diskeshss19@gmail.com
HULU SUNGAI TENGAH ;dinkeshst@gmail.com
BERAU;"dinkes.berau@gmail.com; dinkes.puri@gmail.com"
PASER ;dinkespaser.kaltim@gmail.com
KOTA BONTANG;healthpromotion.dkkbontang@gmail.com
TANA TIDUNG ;ktt@tanatidungkab.go.id
KOTA TARAKAN ;dinkes.tarakankota@gmail.com
MINAHASA SEALATAN;Esterseroan1996@gmail.com
KOTA TOMOHON ;dinaskesehatansoasial@yahoo.com
KEPULAUAN TALAUD;"monanginkerry@gmail.com; 
jawali.ektavianus@gmail.com"
KEPULAUAN SANGIHE ;raymon94mandak@gmail.com
MINAHASA TENGGARA ;admin@mitrakab.go.id
KOTA MANADO;dinkes.manadokota@gmail.com
TOLI TOLI ;titisw77@ymail.com
KOTA PALU ;diskeskotapalu@gmail.com
BUOL;jamal.dinkes@gmail.com
TOJO UNA UNA ;dinkes@tojounauna.go.id
SOPPENG ;dinkeskabsoppeng_sulsel@yahoo.co.id
KOTA PALOPO;dinkes@palopokota.go.id
LUWU TIMUR;dinkes@luwutimurkab.go.id
KOTA PARE PARE ;dinkes@pareparekota.go.id
BUTON UTARA ;dinkesbuton@gmail.com
KONAWE SELATAN ;dinkes@konaweselatankab.go.id
MUNA BARAT;munabaratdinkes@gmail.com
KOTA BAU BAU ;dinkes@baubaukota.go.id
KOLAKA UTARA ;dinkeskabkolaka@gmail.com
KONAWE;dinkes@konawe.go.id
KOTA KENDARI ;dinkeskotakendari@gmail.com
BUTON TENGAH ;dinkesbuton@gmail.com
GORONTALO UTARA ;dinkes.gorontaloprov@gmail.com
KOTA GORONTALO;dikes@gorontalokota.go.id
