TK PUSTAKA AR RIDHO;pustakaarridho@gmail.com
TK ISLAM INTERNASIONAL AL ABIDIN;tkiialabidin@yahoo.co.id
TK AISYIYAH BIBISKALANG;tkaisyiyahbibiskalang_surakarta@gmail.com
TK AISYIYAH GILINGAN;aisyiyahgilinganska@gmail.com
TK AISYIYAH KOTA PASIR;tkaisykopas@gmail.com
TK AISYIYAH KRAGILAN;tkaisyiyahkragilan@yahoo.com
TK AISYIYAH KADIPIRO II;kadipiro2@gmail.com
TK AISYIYAH KADIPIRO III;nurulhayati526@gmail.com
TK AISYIYAH 64 SUMBER NAYU;tkaisy64@gmail.com
TK ISLAM BAKTI XI;tkislambaktixi@yahoo.co.id
TK AISYIYAH KEPRABON;tkaisyiyahkeprabon@gmail.com
TK AISYIYAH MANGKUBUMEN I;aisyiyahmangkubumen@gmail.com
TK AISYIYAH AL AMIN;tkaisyiyahalamin@gmail.com
TK. AISYIYAH NUSUKAN II;tkaisyiyahnusukan2solo@yahoo.co.id
TK AISYIYAH NUSUKAN III;surantimama@gmail.com
TK AISYIYAH NUSUKAN I;tkaisyiyahnusukan1ska@gmail.com
TK AISYIYAH PUNGGAWAN;tkaisyiyahpunggawan@gmail.com
TK AISYIYAH SUMBER III;tkaisyiyahsbr3@yahoo.com
TK AISYIYAH SUMBER II;aisyiyahsbr2@gmail.com
TK AISYIYAH SUMBER I;tksoloaisyiyahsumber1@yahoo.com
TK AISYIYAH 47 GANDEKAN;tkaisyiyahgandekan47@gmail.com
TK ISLAM BAKTI 6;tk_islambakti06@yahoo.com
TK AISYIYAH 53 PETORAN;tkaisiyahpetoran53@yahoo.co.id
TK AISYIYAH 52 JEBRES 1;siswidayanti19@gmail.com
TK AISYIYAH KRAJAN;tkaisyiyahkrajan@yahoo.com
TK AISYIYAH KAMPUNG SEWU I;tkaisyiyahkampungsewu@yahoo.co.id
TK AISYIYAH BUDI MULIA DUA SALA;pgtk_abmds@yahoo.com
TK ISLAM BAKTI XVIII;tk.islambakti18@gmail.com
TK ISLAM BAKTI IX SURAKARTA;bhakt9_kerten@yahoo.com
TK AISYIYAH 31 SIDODADI;aisyiyah31sidodadi@yahoo.com
TK AISYIYAH TUNGGULSARI;tkaisyiyahtgs@gmail.com
TK 4 AL ISLAM;tk.alislam4@gmail.com
TK. AISYIYAH 13 BALUWARTI;aisyiyahbaluwarti@gmail.com
TK AISYIYAH GAJAHAN;tkaisyiyahgajahan@gmail.com
TK AISYIYAH 22 REKSONITEN;tkaisyiyah22reksoniten@gmail.com
TK AISYIYAH JOYOSURAN;PDAkotaSurakarta@gmail.com
TK AISYIYAH PALUGUNAN;tkaisyiyahpalugunan@gmail.com
TK ISLAM BAKTI VII;baktitk@yahoo.co.id
TK AISYIYAH IV SEMANGGI;tk_aisyiyah4smgg@yahoo.com
TK AL ISLAM 9 AL FAJAR;tkalislam9@gmail.com
TK AISYIYAH II SEMANGGI;aisyiyahsemanggi2@gmail.com
TK AISYIYAH III SEMANGGI;tkaisyiyahsemanggitiga@gmail.com
TK AISYIYAH I SEMANGGI;aisyiyahsatu@yahoo.com
TK. AISYIYAH 14 DANUKUSUMAN;tk.aisyiyah14_danukusuman@yahoo.co.id
TK AL-ISLAM 5 SURAKARTA;alislam5surakarta@gmail.com
TK AISYIYAH KARTOPURAN;tkaisyiyah7_kartopuran@yahoo.co.id
TK AL ISLAM 10 DARPOYUDAN;alislam10ska@gmail.com
TK. AISYIYAH KRATONAN;tk.aisyiyah39-kratonan@gmail.com
TK AISYIYAH 61 SERENGAN;ABA61SOLO@yahoo.com
TK AISYIYAH 50 TIPES ;tkaisyiah50@gmail.com
TK ISLAM BAKTI 1;tk.bakti1surakarta@yahoo.co.id
