Dinas Pemerintah Kabupaten Banjar Negara ;pemda@banjarnegarakab.go.id
Diskominfo Kabupaten Banjar Negara;dinkominfo@banjarnegarakab.go.id
Dinkes Kabupaten Banjar Negara;dinkes@banjarnegarakab.go.id
Sekretariat Daerah Kabupaten Cirebon;setda@cirebonkab.go.id
Humas Kabupaten Cirebon;humas@cirebonkab.go.id
Bagian Hukum Kabupaten Cirebon;jdih@cirebonkab.go.id
Unit Layanan Pengadaan Kabupaten Cirebon;ulp@cirebonkab.go.id
Badan Perencanaan Pembangunan Daerah Kabupaten Cirebon;bappeda@cirebonkab.go.id
Badan Kepegawaian Pendidikan dan Pelatihan Daerah Kabupaten Cirebon;bkppd@cirebonkab.go.id
Badan Pelayanan Perizinan Terpadu Kabupaten Cirebon;bppt@cirebonkab.go.id
Badan Lingkungan Hidup Daerah Kabupaten Cirebon;blhd@cirebonkab.go.id
Badan Ketahan Pangan dan  Pelaksana Penyuluhan Pertanian, Perikanan, Kehutanan Kabupaten Cirebon;bkp5k@cirebonkab.go.id
Badan Kesatuan Bangsa dan Perlindungan Masyarakat Kabupaten Cirebon;kesbanglinmas@cirebonkab.go.id
Badan Pemberdayaan Masyarakat dan Pemerintahan Desa Kabupaten Cirebon;bpmpd@cirebonkab.go.id
Badan Pemberdayaan Perempuan dan Keluarga Berencana Kabupaten Cirebon;bppkb@cirebonkab.go.id
Dinas Kesehatan Kabupaten Cirebon;dinkes@cirebonkab.go.id
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Cirebon;disdukcapil@cirebonkab.go.id
Dinas Pertanian Perkebunan Peternakan dan Kehutanan  Kabupaten Cirebon;distanbunnakhut@cirebonkab.go
Dinas Kelautan dan Perikanan  Kabupaten Cirebon;dislakan@cirebonkab.go.id
Dinas Komunikasi dan Informatika  Kabupaten Cirebon;diskominfo@cirebonkab.go.id
Dinas Perindustrian dan Perdagangan  Kabupaten Cirebon;disperindag@cirebonkab.go.id
Dinas Bina Marga  Kabupaten Cirebon;binamarga@cirebonkab.go.id
Dinas Cipta Karya dan Tata Ruang  Kabupaten Cirebon;dcktr@cirebonkab.go.id
Dinas Pendapatan Daerah  Kabupaten Cirebon;dispenda@cirebonkab.go.id
Dinas Sosial Kabupaten Cirebon;dinsos@cirebonkab.go.id
Dinas Pendidikan  Kabupaten Cirebon;disdik@cirebonkab.go.id
Dinas Kebudayaan Pariwisata Pemuda dan Olahraga  Kabupaten Cirebon;disbudparpora@cirebonkab.go.id
Dinas Koperasi dan UMKM Kabupaten Cirebon;diskop@cirebonkab.go.id
Dinas Perhubungan Kabupaten Cirebon;dishub@cirebonkab.go.id
Dinas Pengelolaan Sumber Daya Air dan Pertambangan Kabupaten Cirebon;psdap@cirebonkab.go.id
 Dinas Tenaga Kerja dan Transmigrasi Kabupaten Cirebon;disnakertrans@cirebonkab.go.id
Inspektorat Kabupaten Cirebon;inspektorat@cirebonkab.go.id
Satuan Polisi Pamong Praja Kabupaten Cirebon;satpolpp@cirebonkab.go.id
Sekretariat Dewan Kabupaten Cirebon;setwan@cirebonkab.go.id
Badan Rumah Sakit Umum Daerah Waled Kabupaten Cirebon;rsudwaled@cirebonkab.go.id
Kantor Perpustakaan Daerah Kabupaten Cirebon;perpusda@cirebonkab.go.id
Biro Bina Infrastruktur dan Sumber Daya Alam Setda Provinsi Banten;biroisda@bantenprov.go.id
Biro Bina Perekonomian Setda Provinsi Banten;perekonomian.banten@gmail.com
Biro Umum Provinsi Banten;ppid.biroumum@bantenprov.go.id
Dinas Perpustakaan Dan Kearsipan Provinsi Banten;admin@bpad.bantenprov.go.id
Dinas Lingkungan Hidup dan Kehutanan Provinsi Banten;ppid.dlhk@bantenprov.go.id
Dinas Perumahan Rakyat dan Kawasan Permukiman Provinsi Banten;perkim@bantenprov.go.id
Dinas Pekerjaan Umum Dan Penataan Ruang Provinsi Banten;dpupr@bantenprov.go.id
Dinas Kepemudaan dan Olahraga Provinsi Banten ;"Sekretariat.dispora@bantenprov.go.id;ppid.dispora@bantenprov.go.id"
Dinas Kelautan dan Perikanan Provinsi Banten;dkpbanten@yahoo.com
Dinas Komunikasi, Informatika, Statistik Dan Persandian Provinsi Banten;"ppid.diskominfosp@bantenprov.go.id;diskominfo@bantenprov.go.id"
Dinas Perindustrian Dan Perdagangan Provinsi Banten;disperindagprovbanten@gmail.com
Dinas Pemberdayaan Masyarakat Dan Desa (Dpmd) Provinsi Banten;program.dpmdbanten@gmail.com
Dinas Sosial Provinsi Banten;infodinsos@gmail.com
Dinas Tenaga Kerja dan Transmigrasi Provinsi Banten ;"ppid.disnakertrans@bantenprov.go.id;ppid.disnakertransbanten@gmail.com"
Dinas Koperasi  dan UKM Provinsi Banten;dinkopbanten@yahoo.com
Badan Kepegawaian Daerah Provinsi Banten;bkd@bantenprov.go.id
Satuan Polisi Pamong Praja Provinsi Banten;satpolpp_banten@yahoo.com
Dinas Lingkungan Hidup Kabupaten Banyumas;banyumasblh@gmail.com
Dinas Pendidikan Kabupaten Banyumas;dindik@banyumaskab.go.id
PEMERINTAH KABUPATEN BANYUMAS;pemkabbanyumas@banyumaskab.go.id
Dinas Kesehatan Pemerintah Kabupaten Banyumas;dkkbanyumas@yahoo.co.id
Dinas Pendidikan Kabupaten Tangerang;dispendiktangerang@gmail.com
Dinas Pendidikan Provinsi DKI Jakarta;disdik@jakarta.go.id
Dinas Pendidikan Provinsi Jawa Barat;disdik@jabarprov.go.id
Dinas Pendidikan dan Kebudayaan Provinsi Jawa Tengah;dapodik@pdkjateng.go.id
Dinas Pendidikan Provinsi Jawa Timur;dindik@jatimprov.go.id
Dinas Pendidikan dan Kebudayaan Provinsi Banten;dindik_banten@yahoo.com
Dinas Pendidikan Pemuda dan Olahraga DIY;dikpora@jogjaprov.go.id
Dinas Pendidikan dan Kebudayaan Kota Tangerang Selatan;tangseldindikbud@gmail.com
Disnaker Kabupaten Tangerang;disnaker@tangerangkab.go.id
Badan Perencanaan Pembangunan Daerah Kabupaten Semarang;bappeda@semarangkab.go.id
Badan Lingkungan Hidup Kabupaten Semarang;blh@semarangkab.go.id
KANTOR PENANAMAN MODAL DAN PERIJINAN TERPADU KAB. SEMARANG;bpmpptspkabsmg@yahoo.com
DINAS PENDIDIKAN KABUPATEN SEMARANG;datadikkabsmg@gmail.com
DINAS KESEHATAN KABUPATEN SEMARANG;dinkeskabsemarang@gmail.com
DINAS PETERNAKAN DAN PERIKANAN KAB SEMARANG;disnakkan_kabsmg@yahoo.co.id
PEMERINTAH KABUPATEN SEMARANG;info@semarangkab.go.id
Sekertaris Daerah Kabupaten Semarang;setda@semarangkab.go.id
Bagian Hukum Sekretariat Daerah, Kabupaten Semarang;jdihungaran@gmail.com
Sekertaris Daerah Kabupaten Sleman ;setda.slemankab.go.id
Pemerintah Daerah Kabupaten Sleman;pemdasleman@slemankab.go.id 
Inspektorat Kabupaten Sleman;inspektorat@slemankab.go.id
Dinas Pendidikan Kabupaten Sleman;disdik@slemankab.go.id
Dinas Kesehatan Kabupaten Sleman;dinkes@slemankab.go.id
Dinas Pekerjaan Umum, Perumahan dan Kawasan Permukiman Kabupaten Sleman;dinpupkp@slemankab.go.id
Dinas Pertanahan dan Tata Ruang Kabupaten Sleman;pertaru@slemankab.go.id
Satuan Polisi Pamong Praja Kabupaten Sleman;satpolpp@slemankab.go.id
Dinas Sosial Kabupaten Sleman;dinsos@slemankab.go.id
Dinas Tenaga Kerja Kabupaten Sleman;disnaker@slemankab.go.id
Dinas Pemuda dan Olahraga  Kabupaten Sleman;dispora@slemankab.go.id
Dinas Pemberdayaan Perempuan dan Perlindungan Anak, Pengendalian Penduduk dan KB Sleman;dinp3ap2kb@slemankab.go.id
Dinas Pertanian Perikanan dan Kehutanan  Kabupaten Sleman;pertanian@slemankab.go.id
Dinas Lingkungan Hidup  Kabupaten Sleman;dinlh@slemankab.go.id
Dinas Kependudukan dan Catatan Sipil  Kabupaten Sleman;dukcapil@slemankab.go.id
Dinas Pemberdayaan Masyarakat dan Desa  Kabupaten Sleman;inpmd@slemankab.go.id
Dinas Perhubungan  Kabupaten Sleman;perhubungan@slemankab.go.id
Dinas Komunikasi dan Informatika  Kabupaten Sleman;kominfo@slemankab.go.id
Dinas Koperasi, Usaha Kecil dan Menengah  Kabupaten Sleman;dinkop_ukm@slemankab.go.id
Dinas Penanaman Modal dan Pelayanan Perizinan Terpadu  Kabupaten Sleman;dpmppt@slemankab.go.id
Dinas Pariwisata  Kabupaten Sleman;dispar@slemankab.go.id
