Rumah Sakit Gigi dan Mulut Maranatha;info@rsgm.maranatha.edu
RUMAH SAKIT GIGI DAN MULUT (RSGM);rsgmp.fkg@unair.gmail.com
RUMAH SAKIT GIGI DAN MULUT (RSGM) UNAIR;mail@fkg.unair.ac.id
RUMAH SAKIT GIGI DAN MULUT (RSGM) UGM;rsgm.fkg@ui.ac.id
RUMAH SAKIT GIGI DAN MULUT (RSGM) UI;rsgm@ugm.ac.id
RUMAH SAKIT GIGI DAN MULUT (RSGM) Unpad; rsgm.fkg@unpad.ac.id
RSGM LADOKGI YOS SUDARSO;ladokgiyossudarso@gmail.com
RUMAH SAKIT GIGI DAN MULUT (RSGM) Usakti; rsgmfkgusakti@gmail.com
RUMAH SAKIT GIGI DAN MULUT (RSGM) solestri;rsgmsoelastri@ums.ac.id
RUMAH SAKIT GIGI DAN MULUT (RSGM) unissula;rsigm@unissula.ac.id
RUMAH SAKIT GIGI DAN MULUT (RSGM) unimus;rsgm@unimus.ac.id
RSGM UGM Prof. Soedomo;rsgm@ugm.ac.id
Poltekkes jogja;poltekkeskhjogja@gmail.com
RS Gigi dan Mulut Nala Husada;rsgm.nalahusada@gmail.com
RSGM Jember;admin.rsgm@unej.co.id
RSGM AMBARAWA;ambarawa_rsud@yahoo.co.id
RSGM Moestopo;rsgm@moestopo.ac.id
RSGM LADOKGI TNI AL R.E. MARTADINATA;cs@ladokgirem.com
RSGM bandung;rskgm@bandung.go.id
RSGM nala husada;rsgm.nalahusada@gmail.com
RSGM UNSYIAH;fkg@unsyiah.ac.id
