SMKN 29 JAKARTA;smtpenerbangan@yahoo.co.id
SMKS PENERBANGAN BAKTI NUSANTARA;spbn@ymail.com
SMKN 8 KOTA BEKASI;smkn8kotabekasi@yahoo.co.id
SMK BINA DHIRGANTARA;smk_binadhirgantara@yahoo.com
SMK PENERBANGAN KARTIKA AQASA BHAKTI;smk_penerbangan_smg@yahoo.go.id
SMKS PENERBANGAN AAG ADISUTJIPTO;smkpenerbangan_jogya@yahoo.co.id
SMK NEGERI PENERBANGAN ACEH;smkpenerbanganaceh@ymail.com
SMKS PENERBANGAN SPAN LUBUK PAKAM;smkpenerbangan93_lubukpakam@yahoo.com
SMK SWASTA EINSTEIN SCHOOL;einsteinschoolmedan@gmail.com
SMKS PENERBANGAN ANGKASA MEDAN;span.medan@gmail.com
SMK SWASTA TARUNA MARITIM DIRGANTARA;smktarunamaritimdirgantara@gmail.com
SMK SWASTA BROADCAST DIRGA MEDIA BANGSA;smkbimsamedan@gmail.co
SMK SWASTA MANAJEMEN PENERBANGAN MEDAN;smkmanajemenpenerbangan_medan@yahoo.com
SMKS PULAU BRAYAN DARAT;smkpenerbanganpbdka.1medan@yahoo.co.id
SMK SWASTA NUSANTARA KREATIF MANDIRI;smknusantarakreatifmandiri@gmail.com
SMKS PENERBANGAN NUSANTARA KETAPING;smkspn@gmail.com
SMKS MANAJEMEN PENERBANGAN;smkmppku17@gmail.com
SMKS TEKNOLOGI PENERBANGAN INDONESIA JAMBI;smktek.pnbjambi@gmail.com
SMKS PENERBANGAN LAMPUNG;smkpnblampung@yahoo.com
SMK PENERBANGAN TECHNO TERAPAN MAKASSAR;smktechnoterapan@ymail.com
SMK PENERBANGAN CAKRA NUSANTARA DENPASAR;adm.smkpcn@gmail.com
SMKS NUSA DIRGANTARA LOMBOK TENGAH;smk_nusadirgantara@yahoo.com
SMK PENERBANGAN;smkpnb_petramimika@yahoo.com
SMK PENERBANGAN AERO DIRGANTARA;smkpaerodirgantara@gmail.com
SMKS PENERBANGAN DIRGHANTARA;smkpdirghantara2005@gmail.com
