Madrasah Aliyah Negeri Sungayang Batusangkar Ii Kab Tanah Datar ;man2bsk@gmail.com
Kanwil Riau IM;pplkanwilriau@gmail.com
Direktorat Jenderal Imigrasi DKI Jakarta ;ulp@imigrasi.go.id
Balai Pemasyarakatan Kota Kupang;adminrup@kemenkumham.go.id
Direktorat Produksi dan Distribusi Kefarmasian DKI Jakarta ;prodisfa@gmail.com
Institut Seni Budaya Indonesia Kabupaten Aceh Besar;rektor@isbiaceh.ac.id
Bandar Udara Domine Eduard Osok Sorong;domine.eduard@gmail.com
Kesdam Jaya TNI AD Kota Jakarta Timur;kesdamjaya@yahoo.com
 Dinas Pertanahan Kabupaten Aceh Besar;pertanahanabes@gmail.com
Dinas Pendidikan Kabupaten  Balangan;disdikblg@gmail.com
Dinas Pertanian Kabupaten Bandung;pertanian@bandungkab.go.id
Dinas Kesehatan BLUD Puskesmas Kabupaten Bantul;dinkeskabbantul@bantulkab.go.id
Dinas Pertanian Kabupaten Bolaang Mongondow;remonydala@gmail.com
Dinas Perindustrian dan Perdagangan Kabupaten Gunungkidul;disperindagkopesdmgk@gmail.com
Kecamatan Kandangan;lothvie@gmail.com
Badan Keuangan dan Aset Daerah Kabupaten Majalengka;lalansoeherlans@gmail.com
Dinas Kesehatan Kabupaten Probolinggo;tepraprobolinggokab@gmail.com
Dinas Kesehatan Kabupaten Sarolangun;ahrmanzah82@gmail.com
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Kabupaten Sidoarjo;dinkes@sidoarjokab.go.id
Dinas Kesehatan Kabupaten Tanah Laut;Lpsetala@gmail.com
Inspektorat Kabupaten Tangerang;"inspektoratangerangkab.go.id@gmail.com;inspektoratangerangkab@gmail.com;inspektora@tangerangkab.go.id"
Kecamatan Gedebage;gedebage@bandung.go.id
Dinas Pendidikan Kota Blitar;dindik@blitarkota.go.id
UPTD Pendidikan Sekolah Menengah Pertama Negeri 3 Kota Blitar;smpn3@blitarkota.go.id
Kecamatan Telanaipura;noviarman20@gmail.com
Kecamatan Paal Merah;paalmerah2016@gmail.com
Kecamatan Kota Baru;kotabaru.jbi@gmail.com
Rumah Sakit Umum Malimping Kabupaten Lebak;rsudmalingping@yahoo.com
Biro Pengadaan Barang dan Jasa Setda Provinsi Jawa Barat;biropbj@jabarprov.go.id
Dinas Lingkungan Hidup dan Kehutanan Provinsi Jawa Tengah ;dlhkjateng@gmail.com
